NR,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Średnia  przypadków,Średnia zgonów,,(x_i – x_avg)*(y 1_i – y1_avg),(x_i – x_avg)*(x_i – x_avg),(x_i – x_avg)*(y2_i – y2_avg),,Odległość y1_i od prostej,Suma kwadratów odległości na przedziale 30 dni
1,2020-01-03,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2686.9457646072,65025,21.1727704780542,,60.5094829956018,
2,2020-01-04,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2676.40872239306,64516,21.0897400055913,,59.3971921977119,
3,2020-01-05,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2665.87168017891,64009,21.0067095331283,,58.2952195696255,
4,2020-01-06,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2655.33463796477,63504,20.9236790606654,,57.2035651113428,
5,2020-01-07,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2644.79759575062,63001,20.8406485882024,,56.1222288228636,
6,2020-01-08,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2634.26055353648,62500,20.7576181157394,,55.051210704188,
7,2020-01-09,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2623.72351132233,62001,20.6745876432765,,53.990510755316,
8,2020-01-10,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2613.18646910818,61504,20.5915571708135,,52.9401289762475,
9,2020-01-11,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2602.64942689404,61009,20.5085266983506,,51.9000653669827,
10,2020-01-12,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2592.11238467989,60516,20.4254962258876,,50.8703199275214,
11,2020-01-13,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2581.57534246575,60025,20.3424657534247,,49.8508926578637,
12,2020-01-14,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2571.0383002516,59536,20.2594352809617,,48.8417835580096,
13,2020-01-15,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2560.50125803745,59049,20.1764048084987,,47.8429926279591,
14,2020-01-16,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2549.96421582331,58564,20.0933743360358,,46.8545198677122,
15,2020-01-17,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2539.42717360916,58081,20.0103438635728,,45.8763652772688,
16,2020-01-18,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2528.89013139502,57600,19.9273133911099,,44.908528856629,
17,2020-01-19,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2518.35308918087,57121,19.8442829186469,,43.9510106057929,
18,2020-01-20,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2507.81604696672,56644,19.761252446184,,43.0038105247602,
19,2020-01-21,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2497.27900475258,56169,19.678221973721,,42.0669286135312,
20,2020-01-22,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2486.74196253843,55696,19.595191501258,,41.1403648721058,
21,2020-01-23,VN,Viet Nam,WPRO,0,0,0,0,0,0,,2476.20492032429,55225,19.5121610287951,,40.2241193004839,
22,2020-01-24,VN,Viet Nam,WPRO,6,6,0,0,0.857142857142857,0,,2265.09644953871,54756,19.4291305563321,,50.8021806115676,
23,2020-01-25,VN,Viet Nam,WPRO,-4,2,0,0,0.285714285714286,0,,2388.55940732457,54289,19.3461000838692,,42.0462697295387,
24,2020-01-26,VN,Viet Nam,WPRO,0,2,0,0,0.285714285714286,0,,2378.30807939613,53824,19.2630696114062,,41.1199347987038,
25,2020-01-27,VN,Viet Nam,WPRO,0,2,0,0,0.285714285714286,0,,2368.0567514677,53361,19.1800391389433,,40.2039180376725,
26,2020-01-28,VN,Viet Nam,WPRO,0,2,0,0,0.285714285714286,0,,2357.80542353927,52900,19.0970086664803,,39.2982194464448,
27,2020-01-29,VN,Viet Nam,WPRO,0,2,0,0,0.285714285714286,0,,2347.55409561084,52441,19.0139781940173,,38.4028390250207,
28,2020-01-30,VN,Viet Nam,WPRO,0,2,0,0,0.285714285714286,0,,2337.30276768241,51984,18.9309477215544,,37.5177767734001,
29,2020-01-31,VN,Viet Nam,WPRO,0,2,0,0,-0.571428571428571,0,,2521.62286832541,51529,18.8479172490914,,27.000557056515,
30,2020-02-01,VN,Viet Nam,WPRO,3,5,0,0,0.428571428571429,0,,2284.51439753983,51076,18.7648867766285,,37.5080212606264,1404.74095792901
31,2020-02-02,VN,Viet Nam,WPRO,1,6,0,0,0.571428571428571,0,,2242.2630696114,50625,18.6818563041655,,38.38310045738,1382.61457539079
32,2020-02-03,VN,Viet Nam,WPRO,1,7,0,0,0.714285714285714,0,,2200.29745596868,50176,18.5988258317025,,39.2682702818441,1362.48565347492
33,2020-02-04,VN,Viet Nam,WPRO,0,7,0,0,0.714285714285714,0,,2190.47469946882,49729,18.5157953592396,,38.3732330763058,1342.5636669816
34,2020-02-05,VN,Viet Nam,WPRO,3,10,0,0,1.14285714285714,0,,2085.5090858261,49284,18.4327648867766,,42.9202901903656,1328.28039206062
35,2020-02-06,VN,Viet Nam,WPRO,0,10,0,0,1.14285714285714,0,,2076.11490075482,48841,18.3497344143137,,41.9843235214988,1314.14248675926
36,2020-02-07,VN,Viet Nam,WPRO,2,12,0,0,1.42857142857143,0,,2003.86357282638,48400,18.2667039418507,,44.8018530177042,1303.89312907277
37,2020-02-08,VN,Viet Nam,WPRO,1,13,0,0,1.14285714285714,0,,2057.32653061224,47961,18.1836734693878,,40.143344693176,1290.04596301063
38,2020-02-09,VN,Viet Nam,WPRO,0,13,0,0,1,0,,2079.07520268381,47524,18.1006429969248,,37.4690118945054,1274.57484592889
39,2020-02-10,VN,Viet Nam,WPRO,1,14,0,0,1,0,,2069.53816046966,47089,18.0176125244618,,36.5948398391649,1259.26962040107
40,2020-02-11,VN,Viet Nam,WPRO,0,14,0,0,1,0,,2060.00111825551,46656,17.9345820519989,,35.7309859536279,1244.13028642718
41,2020-02-12,VN,Viet Nam,WPRO,1,15,0,0,0.714285714285714,0,,2111.89264746994,46225,17.8515515795359,,31.5843895449284,1225.86378331424
42,2020-02-13,VN,Viet Nam,WPRO,0,15,0,0,0.714285714285714,0,,2102.06989097008,45796,17.768521107073,,30.7822158676224,1207.80421562386
43,2020-02-14,VN,Viet Nam,WPRO,1,16,0,0,0.571428571428571,0,,2122.67570589879,45369,17.68549063461,,28.4460983720566,1188.40732136795
44,2020-02-15,VN,Viet Nam,WPRO,0,16,0,0,0.428571428571429,0,,2142.99580654179,44944,17.6024601621471,,26.2021592414488,1167.75496074169
45,2020-02-16,VN,Viet Nam,WPRO,0,16,0,0,0.428571428571429,0,,2132.88733575621,44521,17.5194296896841,,25.4719839421772,1147.3505794066
46,2020-02-17,VN,Viet Nam,WPRO,0,16,0,0,0.285714285714286,0,,2152.77886497064,44100,17.4363992172211,,23.3510632806428,1125.79311383061
47,2020-02-18,VN,Viet Nam,WPRO,0,16,0,0,0.285714285714286,0,,2142.52753704221,43681,17.3533687447582,,22.6620462552904,1104.50414948011
48,2020-02-19,VN,Viet Nam,WPRO,0,16,0,0,0.142857142857143,0,,2161.99049482806,43264,17.2703382722952,,20.6641440628294,1082.16448301818
49,2020-02-20,VN,Viet Nam,WPRO,0,16,0,0,0.142857142857143,0,,2151.59630975677,42849,17.1873077998323,,20.016285311396,1060.11383971604
50,2020-02-21,VN,Viet Nam,WPRO,0,16,0,0,0,0,,2170.63069611406,42436,17.1042773273693,,18.1414015880084,1037.11487643195
51,2020-02-22,VN,Viet Nam,WPRO,0,16,0,0,0,0,,2160.09365389991,42025,17.0212468549064,,17.534701110494,1014.42545824196
52,2020-02-23,VN,Viet Nam,WPRO,0,16,0,0,0,0,,2149.55661168576,41616,16.9382163824434,,16.9383188027832,980.561596433173
53,2020-02-24,VN,Viet Nam,WPRO,0,16,0,0,0,0,,2139.01956947162,41209,16.8551859099804,,16.352254664876,954.86758136851
54,2020-02-25,VN,Viet Nam,WPRO,0,16,0,0,0,0,,2128.48252725747,40804,16.7721554375175,,15.7765086967724,929.524155266578
55,2020-02-26,VN,Viet Nam,WPRO,0,16,0,0,0,0,,2117.94548504333,40401,16.6891249650545,,15.2110808984723,904.531318127378
56,2020-02-27,VN,Viet Nam,WPRO,0,16,0,0,0,0,,2107.40844282918,40000,16.6060944925916,,14.6559712699759,879.889069950909
57,2020-02-28,VN,Viet Nam,WPRO,0,16,0,0,0,0,,2096.87140061503,39601,16.5230640201286,,14.111179811283,855.597410737172
58,2020-02-29,VN,Viet Nam,WPRO,0,16,0,0,0,0,,2086.33435840089,39204,16.4400335476656,,13.5767065223937,831.656340486165
59,2020-03-01,VN,Viet Nam,WPRO,0,16,0,0,0,0,,2075.79731618674,38809,16.3570030752027,,13.052551403308,817.708334832958
60,2020-03-02,VN,Viet Nam,WPRO,0,16,0,0,0,0,,2065.2602739726,38416,16.2739726027397,,12.5387144540258,792.739028026358
61,2020-03-03,VN,Viet Nam,WPRO,0,16,0,0,0,0,,2054.72323175845,38025,16.1909421302768,,12.0351956745473,766.391123243525
62,2020-03-04,VN,Viet Nam,WPRO,0,16,0,0,0,0,,2044.1861895443,37636,16.1079116578138,,11.5419950648723,738.664848026553
63,2020-03-05,VN,Viet Nam,WPRO,0,16,0,0,0,0,,2033.64914733016,37249,16.0248811853509,,11.0591126250009,711.350727575248
64,2020-03-06,VN,Viet Nam,WPRO,0,16,0,0,0,0,,2023.11210511601,36864,15.9418507128879,,10.5865483549331,679.016985739816
65,2020-03-07,VN,Viet Nam,WPRO,2,18,0,0,0.285714285714286,0,,1958.00363433044,36481,15.8588202404249,,12.0241468353583,649.056809053675
66,2020-03-08,VN,Viet Nam,WPRO,2,20,0,0,0.571428571428571,0,,1893.46659211629,36100,15.775789767962,,13.553241054462,617.808197090433
67,2020-03-09,VN,Viet Nam,WPRO,10,30,0,0,2,0,,1613.50097847358,35721,15.692759295499,,25.3836338962158,603.048486293473
68,2020-03-10,VN,Viet Nam,WPRO,1,31,0,0,2.14285714285714,0,,1578.10679340229,35344,15.6097288230361,,26.1044121205682,591.683886519536
69,2020-03-11,VN,Viet Nam,WPRO,3,34,0,0,2.57142857142857,0,,1489.56975118814,34969,15.5266983505731,,29.877072527805,584.966119208176
70,2020-03-12,VN,Viet Nam,WPRO,4,38,0,0,3.14285714285714,0,,1375.31842325971,34596,15.4436678781102,,35.5883137504124,584.82344700496
71,2020-03-13,VN,Viet Nam,WPRO,6,44,0,0,4,0,,1209.35280961699,34225,15.3606374056472,,45.5747892413568,598.813846701389
72,2020-03-14,VN,Viet Nam,WPRO,3,47,0,0,4.14285714285714,0,,1176.53005311713,33856,15.2776069331842,,46.5388738987382,614.570504732504
